SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,4453 S Wells St,Chicago,IL,60609,25000,,,CHI - Fuller Park,,2613,,1,,,Active,,,https://www.redfin.com/IL/Chicago/4453-S-Wells-St-60609/home/40498823,MRED,11903931,N,Y,41.8130739,-87.6319314
MLS Listing,,Multi-Family (2-4 Unit),,Chicago,IL,60623,415000,5,4.5,,,,1905,1,,,Active,,,https://www.redfin.com/IL/Chicago/Undisclosed-address-60623/home/13234755,MRED,11903687,N,Y,41.8576,-87.7258233
MLS Listing,,Condo/Co-op,2035 W Granville Ave #209,Chicago,IL,60659,108999,1,1.0,CHI - West Ridge,,40000,1962,1,,250,Active,,,https://www.redfin.com/IL/Chicago/2035-W-Granville-Ave-60659/unit-209/home/13120073,MRED,11903901,N,Y,41.9938264,-87.6814564
MLS Listing,,Multi-Family (2-4 Unit),5054 W Crystal St,Chicago,IL,60651,489900,5,3.0,CHI - Austin,,3125,1915,1,,,Active,,,https://www.redfin.com/IL/Chicago/5054-W-Crystal-St-60651/home/13280200,MRED,11903611,N,Y,41.9033843,-87.7530922
MLS Listing,,Single Family Residential,6104 W Fletcher St W,Chicago,IL,60634,399900,3,1.0,CHI - Belmont Cragin,1010,4375,,1,396,,Active,,,https://www.redfin.com/IL/Chicago/6104-W-Fletcher-St-60634/home/13438108,MRED,11903822,N,Y,41.9377098,-87.77893
MLS Listing,,Condo/Co-op,2728 N Hampden Ct #1307,Chicago,IL,60614,175000,0,1.0,CHI - Lincoln Park,550,,1970,1,318,455,Active,,,https://www.redfin.com/IL/Chicago/2728-N-Hampden-Ct-60614/unit-1307/home/13368343,MRED,11903886,N,Y,41.9313022,-87.6420481
MLS Listing,,Condo/Co-op,4149 W 79th St Unit 2N,Chicago,IL,60652,106000,2,1.0,CHI - Ashburn,1500,,,1,71,,Active,,,https://www.redfin.com/IL/Chicago/4149-W-79th-St-60652/unit-2N/home/12784531,MRED,11903803,N,Y,41.7491227,-87.726093
MLS Listing,,Multi-Family (2-4 Unit),5704 S Aberdeen St,Chicago,IL,60621,200000,7,2.0,CHI - Englewood,,3125,,1,,,Active,,,https://www.redfin.com/IL/Chicago/5704-S-Aberdeen-St-60621/home/12565314,MRED,11897694,N,Y,41.790322,-87.6525832
MLS Listing,,Condo/Co-op,2710 W Summerdale Ave Unit GB,Chicago,IL,60625,114000,1,1.0,CHI - Lincoln Square,,,1954,1,,250,Active,,,https://www.redfin.com/IL/Chicago/2710-W-Summerdale-Ave-60625/unit-GB/home/13492037,MRED,11903768,N,Y,41.9788775,-87.6969861
MLS Listing,,Single Family Residential,2934 W Irving Park Rd,Chicago,IL,60618,250000,2,1.0,CHI - Irving Park,1064,2923,1918,1,235,,Active,,,https://www.redfin.com/IL/Chicago/2934-W-Irving-Park-Rd-60618/home/13488044,MRED,11903860,N,Y,41.954253,-87.702081
MLS Listing,,Single Family Residential,6941 N Dowagiac Ave,Chicago,IL,60646,615000,3,2.0,CHI - Forest Glen,1800,5014,1974,1,342,,Active,,,https://www.redfin.com/IL/Chicago/6941-N-Dowagiac-Ave-60646/home/13592174,MRED,11903851,N,Y,42.0069393,-87.7665895
MLS Listing,,Single Family Residential,503 W 125th St,Chicago,IL,60628,185000,4,2.0,CHI - West Pullman,1120,4613,1951,1,165,,Active,,,https://www.redfin.com/IL/Chicago/503-W-125th-St-60628/home/13055708,MRED,11903849,N,Y,41.666739,-87.6345439
MLS Listing,,Parking,600 N Dearborn St Unit P21,Chicago,IL,60654,225000,,,CHI - Near North Side,,153,2005,1,,86,Active,,,https://www.redfin.com/IL/Chicago/600-N-Dearborn-St-60654/unit-P21/home/12696204,MRED,11903848,N,Y,41.8926974,-87.6301704
MLS Listing,,Single Family Residential,12022 S Wentworth Ave,Chicago,IL,60628,189900,5,2.0,CHI - West Pullman,,3689,,1,,,Active,,,https://www.redfin.com/IL/Chicago/12022-S-Wentworth-Ave-60628/home/13056634,MRED,11903842,N,Y,41.6754713,-87.6276809
MLS Listing,,Condo/Co-op,440 N Wabash Ave #4810,Chicago,IL,60611,285000,1,1.0,CHI - Near North Side,,,1992,1,,546,Active,,,https://www.redfin.com/IL/Chicago/440-N-Wabash-Ave-60611/unit-4810/home/12592517,MRED,11903844,N,Y,41.8903711,-87.6269739
MLS Listing,,Single Family Residential,2553 W 103rd St,Chicago,IL,60655,339900,4,2.0,CHI - Beverly,1173,,,1,290,,Active,,,https://www.redfin.com/IL/Chicago/2553-W-103rd-St-60655/home/13156739,MRED,11898945,N,Y,41.7061191,-87.6861755
MLS Listing,,Single Family Residential,4038 W Stillwell Pl,Oak Lawn,IL,60453,325000,4,2.0,Oak Lawn,1100,6875,1954,1,295,,Active,,,https://www.redfin.com/IL/Oak-Lawn/4038-Stillwell-Pl-60453/home/13148652,MRED,11903788,N,Y,41.6969983,-87.7225597
MLS Listing,,Condo/Co-op,2854 W Belmont Ave Unit 2N,Chicago,IL,60618,499900,3,2.0,CHI - Avondale,,,2017,1,,242,Active,October-15-2023 10:30 AM,October-15-2023 12:00 PM,https://www.redfin.com/IL/Chicago/2854-W-Belmont-Ave-60618/unit-2N/home/171312206,MRED,11903806,N,Y,41.939558,-87.6998062
MLS Listing,,Single Family Residential,,Chicago,IL,60649,399000,5,3.5,,4000,5052,1900,2,100,,Active,,,https://www.redfin.com/IL/Chicago/Undisclosed-address-60649/home/13923601,MRED,11903578,N,Y,41.7627535,-87.5742441
MLS Listing,,Condo/Co-op,235 W Van Buren St #3618,Chicago,IL,60607,270000,1,1.0,CHI - Loop,737,,2009,2,366,312,Active,,,https://www.redfin.com/IL/Chicago/235-W-Van-Buren-St-60607/unit-3618/home/45514093,MRED,11903791,N,Y,41.8765303,-87.6347529
MLS Listing,,Single Family Residential,8039 S Elizabeth St,Chicago,IL,60620,125000,5,1.5,CHI - Auburn Gresham,1344,,1917,2,93,,Active,,,https://www.redfin.com/IL/Chicago/8039-S-Elizabeth-St-60620/home/13906451,MRED,11903767,N,Y,41.747545,-87.6546111
MLS Listing,,Single Family Residential,6925 S Stewart Ave,Chicago,IL,60621,60000,4,2.0,CHI - Englewood,2106,3375,1895,2,28,,Active,,,https://www.redfin.com/IL/Chicago/6925-S-Stewart-Ave-60621/home/183897961,MRED,11903772,N,Y,41.7682814,-87.6344483
MLS Listing,,Single Family Residential,5536 S Kilbourn Ave,Chicago,IL,60629,295000,3,1.0,CHI - West Elsdon,1322,3781,1913,2,223,,Active,October-15-2023 12:00 AM,October-15-2023 02:00 PM,https://www.redfin.com/IL/Chicago/5536-S-Kilbourn-Ave-60629/home/14007687,MRED,11901645,N,Y,41.7920307,-87.7358782
MLS Listing,,Multi-Family (2-4 Unit),142 S Austin Blvd,Oak Park,IL,60304,499900,6,2.0,Oak Park,,4791,1922,2,,,Active,,,https://www.redfin.com/IL/Oak-Park/142-S-Austin-Blvd-60304/home/179567987,MRED,11903760,N,Y,41.8775887,-87.7750014
MLS Listing,,Multi-Family (2-4 Unit),11825 S Sangamon St,Chicago,IL,60643,69900,8,3.0,CHI - West Pullman,,3049,1900,2,,,Active,,,https://www.redfin.com/IL/Chicago/11825-S-Sangamon-St-60643/home/12575583,MRED,11903749,N,Y,41.678751,-87.6452989
MLS Listing,,Single Family Residential,12908 S Muskegon Ave,Chicago,IL,60633,269900,3,2.0,CHI - Hegewisch,1066,5009,1964,2,253,,Active,,,https://www.redfin.com/IL/Chicago/12908-S-Muskegon-Ave-60633/home/13031127,MRED,11903631,N,Y,41.6606364,-87.5547078
MLS Listing,,Single Family Residential,1216 S 48th Ct,Cicero,IL,60804,139000,3,3.0,Cicero,,3149,1903,2,,,Active,,,https://www.redfin.com/IL/Cicero/1216-S-48th-Ct-60804/home/13238256,MRED,11903743,N,Y,41.8652199,-87.7464023
MLS Listing,,Townhouse,4155 S Lowe Ave,Chicago,IL,60609,455000,3,2.5,CHI - New City,2500,,2007,2,182,,Active,,,https://www.redfin.com/IL/Chicago/4155-S-Lowe-Ave-60609/home/18920217,MRED,11903732,N,Y,41.8187248,-87.6418753
